Algorithm,Learning Rate,Gamma,Buffer Size,Batch Size,Ent Coef,Tau,Train Data,Filtered,Normalized
SAC,0.0003,0.99,10000,256,,0.005,130.csv,True,True
SAC,0.0003,0.99,10000,256,,0.01,130.csv,True,True
SAC,0.0003,0.99,10000,256,,0.005,150.csv,True,True
SAC,0.0003,0.99,10000,256,,0.01,150.csv,True,True
SAC,0.0003,0.99,10000,256,,0.005,130.csv,True,False
SAC,0.0003,0.99,10000,256,,0.01,130.csv,True,False
SAC,0.0003,0.99,10000,256,,0.005,150.csv,True,False
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,True
PPO,0.0001,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,True,True
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,True
PPO,0.0001,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,True,True
PPO,0.0001,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,True,True
PPO,0.0007,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,True,True
PPO,0.0007,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,True,True
PPO,0.001,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,True,True
PPO,0.001,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,True,True
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,150.csv,True,True
PPO,0.0001,0.95,64,0.01,0.5,0.5,0.95,64,150.csv,True,True
PPO,0.0001,0.99,64,0.01,0.5,0.5,0.95,64,150.csv,True,True
PPO,0.0007,0.95,64,0.01,0.5,0.5,0.95,64,150.csv,True,True
PPO,0.0007,0.99,64,0.01,0.5,0.5,0.95,64,150.csv,True,True
PPO,0.001,0.95,64,0.01,0.5,0.5,0.95,64,150.csv,True,True
PPO,0.001,0.99,64,0.01,0.5,0.5,0.95,64,150.csv,True,True
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,False
PPO,0.0001,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,True,False
PPO,0.0001,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,True,False
PPO,0.0007,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,True,False
PPO,0.0007,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,True,False
PPO,0.001,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,True,False
PPO,0.001,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,True,False
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,150.csv,True,False
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,150.csv,True,False
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,150.csv,True,False
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,150.csv,True,False
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,150.csv,True,False
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,150.csv,True,False
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,150.csv,True,False
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,150.csv,True,False
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,150.csv,True,False
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,150.csv,True,False
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,150.csv,True,False
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,150.csv,True,False
PPO,0.0001,0.95,64,0.01,0.5,0.5,0.95,64,150.csv,True,False
PPO,0.0001,0.99,64,0.01,0.5,0.5,0.95,64,150.csv,True,False
PPO,0.0007,0.95,64,0.01,0.5,0.5,0.95,64,150.csv,True,False
PPO,0.0007,0.99,64,0.01,0.5,0.5,0.95,64,150.csv,True,False
PPO,0.001,0.95,64,0.01,0.5,0.5,0.95,64,150.csv,True,False
PPO,0.001,0.99,64,0.01,0.5,0.5,0.95,64,150.csv,True,False
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,130.csv,False,True
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,130.csv,False,True
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,130.csv,False,True
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,130.csv,False,True
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,130.csv,False,True
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,130.csv,False,True
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,130.csv,False,True
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,130.csv,False,True
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,130.csv,False,True
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,130.csv,False,True
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,130.csv,False,True
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,130.csv,False,True
PPO,0.0001,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,False,True
PPO,0.0001,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,False,True
PPO,0.0007,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,False,True
PPO,0.0007,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,False,True
PPO,0.001,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,False,True
PPO,0.001,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,False,True
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,150.csv,False,True
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,150.csv,False,True
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,150.csv,False,True
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,150.csv,False,True
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,150.csv,False,True
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,150.csv,False,True
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,150.csv,False,True
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,150.csv,False,True
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,150.csv,False,True
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,150.csv,False,True
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,150.csv,False,True
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,150.csv,False,True
PPO,0.0001,0.95,64,0.01,0.5,0.5,0.95,64,150.csv,False,True
PPO,0.0001,0.99,64,0.01,0.5,0.5,0.95,64,150.csv,False,True
PPO,0.0007,0.95,64,0.01,0.5,0.5,0.95,64,150.csv,False,True
PPO,0.0007,0.99,64,0.01,0.5,0.5,0.95,64,150.csv,False,True
PPO,0.001,0.95,64,0.01,0.5,0.5,0.95,64,150.csv,False,True
PPO,0.001,0.99,64,0.01,0.5,0.5,0.95,64,150.csv,False,True
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,130.csv,False,False
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,130.csv,False,False
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,130.csv,False,False
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,130.csv,False,False
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,130.csv,False,False
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,130.csv,False,False
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,130.csv,False,False
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,130.csv,False,False
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,130.csv,False,False
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,130.csv,False,False
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,130.csv,False,False
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,130.csv,False,False
PPO,0.0001,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,False,False
PPO,0.0001,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,False,False
PPO,0.0007,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,False,False
PPO,0.0007,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,False,False
PPO,0.001,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,False,False
PPO,0.001,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,False,False
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,150.csv,False,False
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,150.csv,False,False
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,150.csv,False,False
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,150.csv,False,False
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,150.csv,False,False
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,150.csv,False,False
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,150.csv,False,False
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,150.csv,False,False
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,150.csv,False,False
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,150.csv,False,False
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,150.csv,False,False
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,150.csv,False,False
PPO,0.0001,0.95,64,0.01,0.5,0.5,0.95,64,150.csv,False,False
PPO,0.0001,0.99,64,0.01,0.5,0.5,0.95,64,150.csv,False,False
PPO,0.0007,0.95,64,0.01,0.5,0.5,0.95,64,150.csv,False,False
PPO,0.0007,0.99,64,0.01,0.5,0.5,0.95,64,150.csv,False,False
PPO,0.001,0.95,64,0.01,0.5,0.5,0.95,64,150.csv,False,False
PPO,0.001,0.99,64,0.01,0.5,0.5,0.95,64,150.csv,False,False
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,True
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,True
PPO,0.0001,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,True,True
PPO,0.0001,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,True,True
PPO,0.0007,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,True,True
PPO,0.0007,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,True,True
PPO,0.001,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,True,True
PPO,0.001,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,True,True
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,150.csv,True,True
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,150.csv,True,True
PPO,0.0001,0.95,64,0.01,0.5,0.5,0.95,64,150.csv,True,True
PPO,0.0001,0.99,64,0.01,0.5,0.5,0.95,64,150.csv,True,True
PPO,0.0007,0.95,64,0.01,0.5,0.5,0.95,64,150.csv,True,True
PPO,0.0007,0.99,64,0.01,0.5,0.5,0.95,64,150.csv,True,True
PPO,0.001,0.95,64,0.01,0.5,0.5,0.95,64,150.csv,True,True
PPO,0.001,0.99,64,0.01,0.5,0.5,0.95,64,150.csv,True,True
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.0001,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.0007,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.0007,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.0007,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.0007,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.001,0.95,5,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.001,0.95,10,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.001,0.99,5,0.01,0.5,0.5,1e-05,130.csv,True,False
A2C,0.001,0.99,10,0.01,0.5,0.5,1e-05,130.csv,True,False
PPO,0.0001,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,True,False
PPO,0.0001,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,True,False
PPO,0.0007,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,True,False
PPO,0.0007,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,True,False
PPO,0.001,0.95,64,0.01,0.5,0.5,0.95,64,130.csv,True,False
PPO,0.001,0.99,64,0.01,0.5,0.5,0.95,64,130.csv,True,False
A2C,0.0001,0.95,5,0.01,0.5,0.5,1e-05,150.csv,True,False
A2C,0.0001,0.95,10,0.01,0.5,0.5,1e-05,150.csv,True,False
A2C,0.0001,0.99,5,0.01,0.5,0.5,1e-05,150.csv,True,False
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,130.csv,True,True
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,130.csv,True,True
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,150.csv,True,True
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,150.csv,True,True
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,130.csv,True,False
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,130.csv,True,False
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,150.csv,True,False
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,150.csv,True,False
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,130.csv,False,True
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,130.csv,False,True
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,150.csv,False,True
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,150.csv,False,True
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,130.csv,False,False
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,130.csv,False,False
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,150.csv,False,False
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,150.csv,False,False
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,130.csv,True,True
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,130.csv,True,True
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,150.csv,True,True
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,150.csv,True,True
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,130.csv,True,False
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,130.csv,True,False
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,150.csv,True,False
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,150.csv,True,False
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,130.csv,False,True
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,130.csv,False,True
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,150.csv,False,True
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,150.csv,False,True
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,130.csv,False,False
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,130.csv,False,False
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,150.csv,False,False
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,150.csv,False,False
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,130.csv,False,False
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,130.csv,False,False
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,150.csv,False,False
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,150.csv,False,False
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,130.csv,False,False
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,130.csv,False,False
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,150.csv,False,False
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,150.csv,False,False
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,130.csv,False,False
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,130.csv,False,False
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,150.csv,False,False
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,150.csv,False,False
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,130.csv,False,False
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,130.csv,False,False
A2C,0.0007,0.99,5,0.0,0.5,0.5,1e-05,150.csv,False,False
PPO,7e-05,0.99,128,0.01,0.5,0.5,0.95,128,150.csv,False,False
